iter	Passed	Remaining
400	6008	16467
401	6020	16445
402	6034	16426
403	6045	16400
404	6077	16430
405	6118	16487
406	6140	16490
407	6182	16547
408	6203	16548
409	6247	16610
410	6287	16658
411	6312	16671
412	6329	16657
413	6340	16633
414	6357	16621
415	6381	16628
416	6394	16607
417	6409	16589
418	6427	16582
419	6440	16562
420	6459	16554
421	6474	16539
422	6495	16537
423	6513	16529
424	6527	16511
425	6545	16500
426	6559	16483
427	6573	16463
428	6585	16440
429	6598	16418
430	6611	16398
431	6626	16382
432	6641	16364
433	6658	16354
434	6672	16336
435	6687	16319
436	6698	16293
437	6713	16278
438	6728	16261
439	6744	16247
440	6760	16235
441	6775	16218
442	6793	16209
443	6831	16248
444	6853	16248
445	6870	16236
446	6883	16216
447	6901	16207
448	6914	16185
449	6928	16165
450	6943	16149
451	6961	16141
452	6986	16147
453	7006	16143
454	7027	16139
455	7054	16150
456	7076	16149
457	7098	16150
458	7114	16135
459	7126	16111
460	7138	16088
461	7154	16073
462	7179	16080
463	7194	16063
464	7215	16060
465	7230	16044
466	7246	16029
467	7260	16009
468	7293	16033
469	7315	16032
470	7336	16028
471	7353	16015
472	7433	16140
473	7579	16406
474	7613	16428
475	7765	16704
476	7780	16687
477	7795	16666
478	7810	16648
479	7826	16630
480	7843	16617
481	7867	16616
482	7891	16616
483	7906	16596
484	7927	16590
485	7943	16574
486	7959	16556
487	7972	16532
488	7982	16504
489	7998	16485
490	8026	16493
491	8044	16481
492	8058	16460
493	8072	16438
494	8088	16421
495	8102	16400
496	8119	16385
497	8144	16387
498	8159	16368
499	8173	16347
500	8185	16322
501	8196	16295
502	8210	16273
503	8227	16258
504	8257	16270
505	8307	16318
506	8337	16329
507	8373	16351
508	8402	16358
509	8465	16433
510	8487	16426
511	8509	16420
512	8567	16483
513	8604	16506
514	8625	16497
515	8672	16538
516	8687	16518
517	8701	16495
518	8717	16477
519	8731	16456
520	8743	16429
521	8758	16408
522	8771	16386
523	8783	16359
524	8791	16327
525	8803	16301
526	8813	16272
527	8826	16249
528	8838	16223
529	8849	16195
530	8857	16163
531	8867	16134
532	8910	16165
533	8944	16180
534	9031	16290
535	9048	16273
536	9059	16246
537	9070	16219
538	9079	16188
539	9092	16165
540	9109	16147
541	9122	16124
542	9131	16093
543	9143	16068
544	9153	16040
545	9161	16007
546	9175	15985
547	9188	15961
548	9196	15931
549	9210	15908
550	9223	15886
551	9235	15861
552	9243	15830
553	9255	15804
554	9263	15772
555	9273	15745
556	9285	15720
557	9295	15692
558	9311	15674
559	9324	15651
560	9335	15625
561	9343	15594
562	9354	15569
563	9368	15546
564	9376	15516
565	9389	15493
566	9400	15468
567	9409	15438
568	9419	15412
569	9429	15384
570	9437	15354
571	9448	15328
572	9457	15300
573	9470	15277
574	9480	15251
575	9489	15223
576	9503	15202
577	9514	15176
578	9522	15146
579	9540	15132
580	9552	15109
581	9571	15097
582	9583	15074
583	9594	15048
584	9603	15021
585	9614	14996
586	9621	14964
587	9634	14943
588	9644	14917
589	9651	14886
590	9664	14864
591	9671	14833
592	9683	14811
593	9693	14785
594	9709	14768
595	9716	14738
596	9727	14713
597	9734	14682
598	9744	14658
599	9751	14627
600	9762	14603
601	9769	14573
602	9780	14548
603	9789	14522
604	9797	14493
605	9806	14467
606	9813	14437
607	9826	14416
608	9835	14390
609	9844	14363
610	9854	14338
611	9861	14309
612	9872	14285
613	9879	14255
614	9887	14228
615	9894	14199
616	9903	14173
617	9910	14144
618	9919	14117
619	9926	14089
620	9936	14065
621	9944	14036
622	9959	14019
623	9971	13998
624	9981	13974
625	10005	13969
626	10034	13970
627	10051	13956
628	10059	13929
629	10071	13908
630	10088	13893
631	10106	13880
632	10119	13860
633	10131	13838
634	10140	13812
635	10149	13787
636	10156	13759
637	10167	13736
638	10175	13710
639	10187	13689
640	10198	13667
641	10207	13641
642	10218	13619
643	10229	13597
644	10238	13571
645	10249	13549
646	10260	13527
647	10275	13510
648	10282	13482
649	10289	13455
650	10299	13431
651	10307	13406
652	10315	13380
653	10324	13355
654	10331	13328
655	10340	13303
656	10347	13276
657	10354	13249
658	10363	13226
659	10373	13202
660	10381	13176
661	10390	13152
662	10399	13128
663	10409	13106
664	10416	13079
665	10427	13057
666	10434	13031
667	10443	13008
668	10450	12981
669	10460	12958
670	10468	12933
671	10476	12909
672	10487	12886
673	10494	12860
674	10503	12837
675	10510	12812
676	10520	12789
677	10527	12763
678	10537	12740
679	10544	12715
680	10554	12692
681	10561	12667
682	10570	12644
683	10577	12618
684	10589	12599
685	10599	12576
686	10606	12551
687	10614	12527
688	10621	12501
689	10628	12476
690	10637	12453
691	10644	12428
692	10652	12405
693	10659	12380
694	10726	12424
695	10767	12438
696	10801	12444
697	10853	12471
698	10889	12478
699	10901	12459
700	10920	12447
701	10930	12425
702	10941	12404
703	10952	12383
704	10964	12364
705	10971	12339
706	10980	12316
707	10988	12291
708	10998	12270
709	11007	12247
710	11018	12227
711	11030	12207
712	11038	12183
713	11049	12163
714	11065	12148
715	11073	12125
716	11085	12106
717	11097	12086
718	11105	12062
719	11118	12045
720	11131	12027
721	11145	12010
722	11156	11989
723	11167	11969
724	11177	11948
725	11186	11925
726	11199	11908
727	11213	11890
728	11220	11867
729	11237	11852
730	11248	11832
731	11255	11808
732	11266	11788
733	11275	11767
734	11282	11743
735	11294	11723
736	11301	11699
737	11316	11684
738	11329	11666
739	11336	11642
740	11346	11622
741	11354	11599
742	11362	11576
743	11369	11552
744	11376	11529
745	11383	11505
746	11391	11483
747	11398	11459
748	11407	11437
749	11414	11414
750	11422	11392
751	11429	11368
752	11437	11346
753	11444	11323
754	11453	11302
755	11461	11279
756	11470	11258
757	11477	11235
758	11487	11215
759	11495	11192
760	11504	11172
761	11511	11149
762	11521	11129
763	11528	11106
764	11538	11086
765	11546	11063
766	11556	11043
767	11565	11023
768	11575	11003
769	11584	10983
770	11598	10966
771	11605	10943
772	11616	10924
773	11624	10903
774	11633	10882
775	11640	10860
776	11651	10842
777	11659	10820
778	11671	10802
779	11681	10782
780	11688	10760
781	11698	10741
782	11708	10721
783	11719	10702
784	11725	10680
785	11735	10660
786	11747	10642
787	11755	10622
788	11769	10605
789	11779	10586
790	11787	10565
791	11805	10553
792	11815	10534
793	11822	10512
794	11833	10493
795	11842	10473
796	11849	10452
797	11859	10432
798	11866	10411
799	11875	10390
800	11882	10369
801	11893	10351
802	11900	10329
803	11910	10310
804	11917	10289
805	11927	10269
806	11934	10248
807	11943	10229
808	11950	10207
809	11961	10189
810	11967	10167
811	11977	10148
812	11983	10126
813	11992	10106
814	11999	10085
815	12007	10065
816	12014	10043
817	12022	10024
818	12029	10002
819	12038	9982
820	12044	9961
821	12054	9942
822	12063	9923
823	12072	9904
824	12081	9885
825	12096	9870
826	12104	9850
827	12113	9831
828	12120	9810
829	12130	9792
830	12138	9771
831	12153	9757
832	12162	9738
833	12170	9718
834	12179	9699
835	12195	9686
836	12202	9665
837	12210	9646
838	12217	9625
839	12225	9605
840	12235	9587
841	12247	9571
842	12254	9550
843	12265	9533
844	12272	9512
845	12281	9493
846	12287	9473
847	12297	9454
848	12303	9434
849	12314	9416
850	12321	9396
851	12331	9378
852	12338	9358
853	12345	9338
854	12353	9318
855	12363	9301
856	12369	9281
857	12377	9261
858	12384	9241
859	12393	9222
860	12399	9202
861	12408	9183
862	12415	9163
863	12423	9145
864	12430	9125
865	12438	9106
866	12445	9086
867	12455	9068
868	12461	9048
869	12470	9030
870	12478	9011
871	12486	8992
872	12493	8973
873	12501	8954
874	12508	8934
875	12515	8915
876	12523	8896
877	12530	8876
878	12539	8858
879	12545	8839
880	12554	8821
881	12561	8801
882	12574	8786
883	12584	8769
884	12592	8750
885	12603	8734
886	12611	8715
887	12622	8699
888	12631	8681
889	12638	8662
890	12646	8643
891	12653	8624
892	12660	8605
893	12669	8587
894	12676	8568
895	12688	8553
896	12696	8535
897	12703	8516
898	12712	8498
899	12719	8479
900	12726	8460
901	12733	8442
902	12740	8423
903	12749	8405
904	12755	8386
905	12764	8368
906	12771	8349
907	12780	8332
908	12787	8314
909	12795	8296
910	12802	8277
911	12812	8260
912	12819	8242
913	12828	8224
914	12835	8206
915	12843	8188
916	12850	8169
917	12859	8152
918	12865	8133
919	12874	8116
920	12881	8098
921	12889	8080
922	12897	8062
923	12904	8044
924	12912	8026
925	12918	8008
926	12927	7990
927	12934	7972
928	12942	7955
929	12949	7936
930	12958	7919
931	12964	7901
932	12979	7887
933	12992	7873
934	12999	7855
935	13010	7839
936	13020	7823
937	13028	7806
938	13038	7789
939	13045	7771
940	13054	7754
941	13061	7737
942	13073	7722
943	13088	7709
944	13097	7692
945	13110	7677
946	13121	7662
947	13129	7644
948	13139	7629
949	13147	7611
950	13159	7596
951	13169	7580
952	13175	7562
953	13185	7546
954	13193	7529
955	13202	7512
956	13209	7495
957	13219	7478
958	13227	7462
959	13241	7448
960	13267	7441
961	13281	7427
962	13296	7414
963	13307	7399
964	13318	7383
965	13331	7369
966	13341	7353
967	13349	7336
968	13358	7320
969	13365	7303
970	13375	7287
971	13383	7269
972	13393	7254
973	13404	7238
974	13412	7221
975	13421	7205
976	13430	7189
977	13440	7173
978	13448	7156
979	13458	7141
980	13469	7126
981	13478	7110
982	13488	7094
983	13495	7076
984	13504	7060
985	13511	7043
986	13521	7027
987	13529	7011
988	13538	6995
989	13545	6977
990	13555	6962
991	13562	6945
992	13573	6930
993	13582	6914
994	13590	6897
995	13599	6881
996	13606	6864
997	13616	6849
998	13623	6832
999	13632	6816
1000	13639	6799
1001	13649	6783
1002	13656	6766
1003	13666	6751
1004	13674	6735
1005	13696	6725
1006	13707	6710
1007	13720	6697
1008	13731	6682
1009	13740	6666
1010	13750	6650
1011	13756	6633
1012	13766	6618
1013	13772	6601
1014	13781	6585
1015	13788	6568
1016	13797	6552
1017	13804	6536
1018	13813	6520
1019	13820	6503
1020	13831	6488
1021	13838	6472
1022	13847	6456
1023	13854	6440
1024	13863	6424
1025	13870	6407
1026	13880	6392
1027	13887	6376
1028	13896	6360
1029	13903	6344
1030	13913	6329
1031	13920	6312
1032	13929	6297
1033	13936	6280
1034	13946	6265
1035	13954	6250
1036	13962	6233
1037	13968	6217
1038	13977	6201
1039	13984	6185
1040	13993	6169
1041	13999	6153
1042	14009	6138
1043	14016	6121
1044	14027	6107
1045	14035	6091
1046	14043	6076
1047	14051	6060
1048	14058	6044
1049	14065	6028
1050	14074	6012
1051	14081	5996
1052	14094	5983
1053	14103	5967
1054	14110	5951
1055	14120	5936
1056	14127	5921
1057	14139	5907
1058	14147	5891
1059	14156	5876
1060	14162	5860
1061	14171	5844
1062	14178	5828
1063	14189	5814
1064	14195	5798
1065	14206	5783
1066	14216	5769
1067	14223	5753
1068	14234	5739
1069	14244	5724
1070	14255	5710
1071	14265	5695
1072	14272	5679
1073	14283	5665
1074	14289	5649
1075	14300	5635
1076	14307	5619
1077	14317	5604
1078	14324	5589
1079	14335	5574
1080	14342	5559
1081	14353	5545
1082	14366	5531
1083	14372	5515
1084	14383	5501
1085	14390	5485
1086	14401	5471
1087	14409	5456
1088	14417	5441
1089	14426	5426
1090	14434	5411
1091	14444	5396
1092	14451	5381
1093	14464	5367
1094	14471	5352
1095	14482	5338
1096	14494	5324
1097	14501	5309
1098	14512	5295
1099	14519	5279
1100	14528	5265
1101	14535	5249
1102	14544	5234
1103	14551	5219
1104	14559	5204
1105	14567	5189
1106	14576	5174
1107	14583	5159
1108	14591	5144
1109	14598	5129
1110	14606	5114
1111	14613	5099
1112	14621	5084
1113	14629	5069
1114	14636	5053
1115	14645	5039
1116	14652	5024
1117	14661	5009
1118	14668	4994
1119	14677	4979
1120	14684	4964
1121	14692	4949
1122	14699	4934
1123	14708	4920
1124	14714	4904
1125	14723	4890
1126	14731	4875
1127	14739	4861
1128	14746	4845
1129	14754	4831
1130	14761	4816
1131	14770	4801
1132	14777	4786
1133	14786	4772
1134	14793	4757
1135	14801	4742
1136	14807	4727
1137	14815	4712
1138	14823	4698
1139	14829	4683
1140	14838	4668
1141	14845	4653
1142	14853	4639
1143	14860	4624
1144	14869	4610
1145	14879	4596
1146	14891	4582
1147	14902	4569
1148	14912	4555
1149	14923	4541
1150	14931	4527
1151	14938	4512
1152	14945	4498
1153	14953	4483
1154	14960	4468
1155	14969	4454
1156	14976	4439
1157	14985	4425
1158	14992	4411
1159	15001	4396
1160	15008	4382
1161	15017	4368
1162	15024	4353
1163	15033	4339
1164	15040	4324
1165	15048	4310
1166	15055	4296
1167	15064	4281
1168	15070	4267
1169	15078	4253
1170	15086	4238
1171	15094	4224
1172	15101	4209
1173	15108	4195
1174	15115	4180
1175	15122	4166
1176	15131	4152
1177	15137	4137
1178	15146	4123
1179	15153	4109
1180	15161	4095
1181	15168	4080
1182	15177	4067
1183	15184	4052
1184	15193	4038
1185	15199	4024
1186	15208	4010
1187	15214	3995
1188	15223	3981
1189	15232	3968
1190	15240	3954
1191	15247	3939
1192	15256	3926
1193	15263	3911
1194	15272	3898
1195	15282	3884
1196	15293	3871
1197	15305	3858
1198	15313	3844
1199	15322	3830
1200	15329	3816
1201	15338	3802
1202	15345	3788
1203	15353	3774
1204	15360	3760
1205	15367	3746
1206	15375	3732
1207	15381	3718
1208	15391	3704
1209	15398	3690
1210	15407	3676
1211	15414	3662
1212	15424	3649
1213	15431	3635
1214	15439	3621
1215	15445	3607
1216	15455	3593
1217	15461	3579
1218	15470	3566
1219	15477	3552
1220	15485	3538
1221	15493	3524
1222	15501	3511
1223	15509	3497
1224	15518	3483
1225	15526	3470
1226	15535	3456
1227	15542	3442
1228	15551	3429
1229	15557	3415
1230	15565	3401
1231	15572	3387
1232	15581	3374
1233	15588	3360
1234	15596	3346
1235	15603	3332
1236	15613	3319
1237	15619	3305
1238	15627	3291
1239	15634	3278
1240	15641	3264
1241	15650	3251
1242	15657	3237
1243	15665	3223
1244	15672	3210
1245	15681	3196
1246	15694	3184
1247	15702	3170
1248	15714	3158
1249	15722	3144
1250	15732	3131
1251	15739	3117
1252	15746	3104
1253	15753	3090
1254	15762	3077
1255	15768	3063
1256	15778	3050
1257	15785	3036
1258	15794	3023
1259	15828	3014
1260	15842	3002
1261	15853	2989
1262	15861	2976
1263	15869	2962
1264	15876	2949
1265	15884	2936
1266	15891	2922
1267	15899	2909
1268	15907	2895
1269	15915	2882
1270	15921	2868
1271	15928	2855
1272	15937	2841
1273	15943	2828
1274	15953	2815
1275	15960	2801
1276	15967	2788
1277	15974	2774
1278	15991	2763
1279	16000	2750
1280	16006	2736
1281	16018	2723
1282	16025	2710
1283	16037	2697
1284	16051	2685
1285	16068	2673
1286	16080	2661
1287	16087	2647
1288	16096	2634
1289	16103	2621
1290	16112	2608
1291	16118	2594
1292	16127	2581
1293	16134	2568
1294	16142	2555
1295	16149	2542
1296	16156	2528
1297	16165	2515
1298	16171	2502
1299	16181	2489
1300	16188	2476
1301	16197	2463
1302	16203	2449
1303	16212	2436
1304	16219	2423
1305	16227	2410
1306	16234	2397
1307	16244	2384
1308	16251	2371
1309	16259	2358
1310	16266	2345
1311	16274	2332
1312	16281	2318
1313	16289	2305
1314	16296	2292
1315	16304	2279
1316	16311	2266
1317	16318	2253
1318	16326	2240
1319	16333	2227
1320	16342	2214
1321	16348	2201
1322	16356	2188
1323	16363	2175
1324	16374	2162
1325	16381	2149
1326	16393	2137
1327	16404	2124
1328	16412	2111
1329	16422	2099
1330	16430	2086
1331	16440	2073
1332	16447	2060
1333	16458	2048
1334	16466	2035
1335	16476	2022
1336	16485	2009
1337	16492	1996
1338	16502	1984
1339	16509	1971
1340	16519	1958
1341	16525	1945
1342	16535	1933
1343	16542	1920
1344	16551	1907
1345	16558	1894
1346	16568	1881
1347	16576	1869
1348	16588	1856
1349	16591	1843
1350	16601	1830
1351	16608	1818
1352	16619	1805
1353	16626	1792
1354	16637	1780
1355	16645	1767
1356	16652	1754
1357	16663	1742
1358	16672	1729
1359	16685	1717
1360	16695	1705
1361	16702	1692
1362	16713	1679
1363	16721	1667
1364	16731	1654
1365	16741	1642
1366	16749	1629
1367	16756	1616
1368	16766	1604
1369	16780	1592
1370	16788	1579
1371	16798	1567
1372	16806	1554
1373	16815	1542
1374	16825	1529
1375	16832	1516
1376	16841	1504
1377	16849	1491
1378	16859	1479
1379	16866	1466
1380	16876	1454
1381	16883	1441
1382	16893	1429
1383	16900	1416
1384	16909	1404
1385	16916	1391
1386	16926	1378
1387	16933	1366
1388	16941	1353
1389	16948	1341
1390	16957	1328
1391	16964	1316
1392	16973	1303
1393	16980	1291
1394	16988	1278
1395	16996	1266
1396	17005	1253
1397	17012	1241
1398	17020	1228
1399	17027	1216
1400	17035	1203
1401	17042	1191
1402	17049	1178
1403	17057	1166
1404	17088	1155
1405	17097	1143
1406	17106	1130
1407	17113	1118
1408	17123	1105
1409	17132	1093
1410	17139	1081
1411	17149	1068
1412	17156	1056
1413	17165	1044
1414	17172	1031
1415	17182	1019
1416	17188	1006
1417	17198	994
1418	17205	982
1419	17214	969
1420	17223	957
1421	17232	945
1422	17239	932
1423	17248	920
1424	17255	908
1425	17264	895
1426	17271	883
1427	17280	871
1428	17288	858
1429	17300	846
1430	17307	834
1431	17326	822
1432	17336	810
1433	17348	798
1434	17362	786
1435	17371	774
1436	17382	762
1437	17389	749
1438	17400	737
1439	17411	725
1440	17419	713
1441	17433	701
1442	17444	689
1443	17451	676
1444	17460	664
1445	17467	652
1446	17476	640
1447	17483	627
1448	17492	615
1449	17498	603
1450	17509	591
1451	17516	579
1452	17526	566
1453	17534	554
1454	17544	542
1455	17551	530
1456	17564	518
1457	17575	506
1458	17583	494
1459	17592	481
1460	17599	469
1461	17609	457
1462	17615	445
1463	17626	433
1464	17633	421
1465	17644	409
1466	17659	397
1467	17666	385
1468	17676	373
1469	17686	360
1470	17694	348
1471	17703	336
1472	17710	324
1473	17720	312
1474	17727	300
1475	17736	288
1476	17743	276
1477	17752	264
1478	17759	252
1479	17771	240
1480	17778	228
1481	17788	216
1482	17794	203
1483	17804	191
1484	17812	179
1485	17821	167
1486	17828	155
1487	17837	143
1488	17844	131
1489	17853	119
1490	17859	107
1491	17869	95
1492	17876	83
1493	17885	71
1494	17892	59
1495	17901	47
1496	17908	35
1497	17917	23
1498	17924	11
1499	17932	0
