iter	RMSE
195	15925.64593
196	15883.06136
197	15840.64918
198	15797.68417
199	15752.61429
200	15740.09013
201	15706.8393
202	15665.84807
203	15639.90715
204	15598.98082
205	15589.11307
206	15556.48406
207	15529.6664
208	15488.90296
209	15472.1756
210	15437.47611
211	15409.97131
212	15376.5364
213	15324.96076
214	15288.57949
215	15270.57973
216	15258.36626
217	15224.51742
218	15183.40284
219	15153.84626
220	15120.06461
221	15109.58258
222	15068.59813
223	15036.28258
224	15005.69573
225	14965.27952
226	14937.20931
227	14907.02497
228	14878.97385
229	14839.89406
230	14814.98215
231	14806.48362
232	14773.23576
233	14732.90011
234	14717.30269
235	14707.54273
236	14676.34704
237	14645.82246
238	14617.93434
239	14608.22638
240	14582.07248
241	14571.92679
242	14538.33314
243	14510.74397
244	14480.01296
245	14450.57968
246	14413.93696
247	14383.92181
248	14345.83545
249	14312.63873
250	14281.0114
251	14256.64377
252	14230.22513
253	14223.30999
254	14215.05484
255	14190.567
256	14175.87304
257	14143.47376
258	14113.10969
259	14082.20207
260	14059.57144
261	14028.10766
262	14004.88863
263	13980.82284
264	13963.69147
265	13934.41561
266	13923.32214
267	13886.73227
268	13861.63228
269	13838.12948
270	13806.28563
271	13767.55884
272	13741.22933
273	13719.67825
274	13703.78786
275	13695.46359
276	13672.2704
277	13640.60739
278	13615.60929
279	13599.16221
280	13575.47969
281	13569.81182
282	13545.20846
283	13536.14057
284	13504.90759
285	13475.15255
286	13447.77316
287	13423.40317
288	13400.03345
289	13373.37733
290	13345.27799
291	13320.32759
292	13288.26791
293	13281.23226
294	13270.74627
295	13243.72067
296	13223.1404
297	13213.4665
298	13192.47647
299	13178.20892
300	13156.22899
301	13137.31163
302	13113.7332
303	13092.52755
304	13076.16764
305	13049.24088
306	13024.72514
307	13009.47821
308	12982.87032
309	12959.21364
310	12927.46138
311	12907.44756
312	12884.69236
313	12874.43337
314	12851.64674
315	12826.65441
316	12799.88547
317	12781.30369
318	12761.07194
319	12738.16282
320	12726.07739
321	12698.27726
322	12680.96567
323	12651.17543
324	12626.23551
325	12604.4113
326	12585.07538
327	12560.98951
328	12542.54824
329	12529.14743
330	12515.67418
331	12490.88539
332	12466.07022
333	12448.24877
334	12429.83287
335	12407.6116
336	12401.03492
337	12382.7349
338	12356.96695
339	12351.05569
340	12325.63865
341	12296.54136
342	12284.78616
343	12279.13518
344	12258.5649
345	12238.43095
346	12220.7531
347	12205.89005
348	12200.53514
349	12188.83513
350	12182.57155
351	12165.10408
352	12160.18754
353	12134.71425
354	12128.4208
355	12116.29087
356	12107.89591
357	12084.95032
358	12080.52997
359	12072.51253
360	12062.16782
361	12043.87318
362	12027.64896
363	12007.9847
364	11985.95888
365	11960.1762
366	11945.26388
367	11911.40122
368	11900.61131
369	11880.95161
370	11863.54521
371	11858.53806
372	11850.59873
373	11837.98
374	11808.24085
375	11797.72941
376	11790.70481
377	11771.1941
378	11749.40182
379	11722.91086
380	11700.03207
381	11689.37657
382	11681.51571
383	11673.6295
384	11654.64763
385	11635.54203
386	11609.82438
387	11597.96268
388	11580.75065
389	11576.50587
390	11564.70808
391	11539.17991
392	11517.81877
393	11509.527
394	11493.00039
395	11487.90558
396	11479.21909
397	11475.95612
398	11461.18881
399	11447.81373
400	11434.11858
401	11409.07212
402	11391.62664
403	11381.76777
404	11361.57597
405	11353.79572
406	11332.42365
407	11324.14482
408	11318.68891
409	11302.99665
410	11287.58058
411	11272.10107
412	11254.98125
413	11238.88416
414	11221.57055
415	11200.34453
416	11181.16285
417	11160.49992
418	11135.90703
419	11113.25134
420	11094.72851
421	11072.78571
422	11052.17104
423	11036.13076
424	11021.48942
425	11006.15107
426	10986.60059
427	10971.85774
428	10948.0891
429	10929.1209
430	10910.68306
431	10893.85955
432	10886.90563
433	10875.13158
434	10859.40016
435	10849.50042
436	10828.3259
437	10805.2809
438	10789.73918
439	10771.84951
440	10756.67417
441	10744.19036
442	10731.27486
443	10712.11985
444	10693.83369
445	10686.18103
446	10663.73572
447	10644.32792
448	10624.50836
449	10606.73462
450	10588.61138
451	10571.46613
452	10555.19206
453	10538.25489
454	10526.35626
455	10509.22871
456	10491.51949
457	10480.19057
458	10467.11777
459	10449.2373
460	10444.54944
461	10432.75436
462	10413.83692
463	10394.89019
464	10363.43741
465	10357.19568
466	10341.0133
467	10320.78822
468	10308.7387
469	10293.72112
470	10269.91735
471	10259.75702
472	10250.48825
473	10234.20401
474	10216.55216
475	10202.61419
476	10183.73976
477	10170.1859
478	10151.4999
479	10133.74115
480	10120.26427
481	10103.68659
482	10087.99597
483	10068.37351
484	10050.04736
485	10044.66363
486	10024.20714
487	10010.37728
488	9995.787267
489	9980.358783
490	9967.95218
491	9952.420519
492	9939.774181
493	9922.298697
494	9911.479422
495	9899.845395
496	9885.067003
497	9867.590281
498	9858.057967
499	9849.455714
500	9832.927723
501	9822.731481
502	9808.86411
503	9796.562978
504	9779.924568
505	9770.895882
506	9752.728237
507	9736.686166
508	9723.050921
509	9706.385937
510	9686.992643
511	9668.973803
512	9658.920225
513	9641.268948
514	9621.663284
515	9607.641675
516	9592.83114
517	9584.352403
518	9576.672032
519	9562.004532
520	9547.09239
521	9537.919005
522	9527.948617
523	9515.596653
524	9501.933631
525	9483.019348
526	9467.966605
527	9461.073613
528	9445.564488
529	9432.017849
530	9418.842476
531	9400.117097
532	9386.719075
533	9377.31614
534	9370.475489
535	9350.130561
536	9341.414252
537	9325.205158
538	9314.430319
539	9305.249306
540	9281.738882
541	9262.178194
542	9252.350723
543	9238.819262
544	9224.646771
545	9211.871327
546	9197.628966
547	9189.704641
548	9174.496555
549	9156.125893
550	9142.145575
551	9128.998849
552	9115.464669
553	9105.291609
554	9084.534268
555	9064.360104
556	9052.112177
557	9038.773632
558	9028.474199
559	9004.959591
560	8989.366771
561	8976.289135
562	8965.408499
563	8956.926437
564	8947.355308
565	8931.633869
566	8916.023525
567	8905.420032
568	8896.439194
569	8873.211233
570	8861.472778
571	8850.088487
572	8835.955874
573	8827.757879
574	8812.61964
575	8797.467733
576	8779.246797
577	8763.42215
578	8750.901261
579	8743.0088
580	8734.65854
581	8732.931761
582	8722.351366
583	8720.388673
584	8719.072843
585	8701.106854
586	8686.627879
587	8671.615923
588	8663.494343
589	8652.287951
590	8637.414054
591	8627.083396
592	8610.314704
593	8599.598361
594	8588.553407
595	8574.294249
596	8571.251617
597	8562.614073
598	8550.783962
599	8537.363776
600	8535.334744
601	8524.989547
602	8509.370545
603	8499.927768
604	8487.105918
605	8477.528313
606	8463.367963
607	8446.56313
608	8441.597784
609	8434.566062
610	8421.842267
611	8412.396403
612	8395.497575
613	8382.323753
614	8372.089632
615	8362.420363
616	8346.779618
617	8332.033135
618	8321.32857
619	8307.634363
620	8300.588111
621	8285.665325
622	8275.105325
623	8268.737932
624	8250.097967
625	8241.016744
626	8226.030641
627	8213.094913
628	8200.037066
629	8191.79305
630	8183.374322
631	8178.186597
632	8164.174717
633	8156.799757
634	8141.326424
635	8138.656886
636	8133.605639
637	8116.881765
638	8114.055895
639	8103.107938
640	8100.326807
641	8085.364883
642	8076.355461
643	8061.858975
644	8052.294117
645	8046.089283
646	8032.123049
647	8021.682248
648	8019.115785
649	8005.070362
650	7994.784494
651	7980.093972
652	7972.176047
653	7949.190218
654	7938.522012
655	7926.085194
656	7921.832348
657	7911.766188
658	7901.961107
659	7891.310543
660	7874.798084
661	7863.391756
662	7859.274873
663	7846.709224
664	7836.656938
665	7817.696697
666	7808.584449
667	7799.426661
668	7779.420344
669	7773.794834
670	7760.566903
671	7749.83452
672	7739.05932
673	7728.804693
674	7720.62475
675	7707.931421
676	7702.909816
677	7692.021159
678	7678.349054
679	7668.219523
680	7655.354757
681	7646.865563
682	7636.911053
683	7626.000592
684	7617.367776
685	7604.48954
686	7592.071605
687	7575.446697
688	7566.090101
689	7554.971458
690	7543.519886
691	7531.598053
692	7523.941127
693	7512.414618
694	7501.687099
695	7491.252814
696	7480.736832
697	7472.801434
698	7461.146803
699	7454.040206
700	7442.260774
701	7431.639261
702	7429.581084
703	7428.627051
704	7418.023927
705	7408.41591
706	7400.504424
707	7393.497713
708	7381.124547
709	7372.937704
710	7363.323054
711	7361.779176
712	7355.266397
713	7345.994947
714	7345.084094
715	7333.706745
716	7323.569535
717	7311.838677
718	7305.255309
719	7298.606892
720	7288.781308
721	7280.70624
722	7265.941268
723	7259.47228
724	7246.162499
725	7228.911242
726	7220.408705
727	7210.693173
728	7208.734836
729	7203.199289
730	7195.840931
731	7188.081665
732	7180.594362
733	7170.006412
734	7162.372568
735	7149.375764
736	7137.700445
737	7123.753969
738	7112.116898
739	7102.750998
740	7090.933933
741	7081.0175
742	7067.220197
743	7057.840197
744	7054.606186
745	7043.033059
746	7032.872565
747	7023.163007
748	7017.710667
749	7015.81033
750	7004.801805
751	6990.634157
752	6983.819395
753	6978.403148
754	6976.939207
755	6975.184591
756	6968.410522
757	6964.864262
758	6950.567967
759	6941.249206
760	6928.647408
761	6926.849272
762	6909.405574
763	6897.840141
764	6890.290875
765	6887.901796
766	6881.511024
767	6880.609989
768	6869.494836
769	6861.524394
770	6853.862014
771	6844.487107
772	6835.139824
773	6829.020647
774	6827.641983
775	6826.65073
776	6812.934103
777	6802.391947
778	6787.802942
779	6779.892155
780	6776.038235
781	6774.750645
782	6773.490331
783	6770.917601
784	6762.248211
785	6751.084914
786	6743.813272
787	6733.409351
788	6720.621704
789	6714.768203
790	6713.971776
791	6703.384779
792	6694.818922
793	6693.76734
794	6679.14279
795	6677.228936
796	6676.178263
797	6667.40764
798	6655.220783
799	6649.207519
800	6639.999705
801	6638.315489
802	6630.205622
803	6617.836838
804	6606.285625
805	6598.610554
806	6591.600268
807	6585.715748
808	6572.430898
809	6561.084384
810	6559.937665
811	6547.747046
812	6546.39208
813	6533.142246
814	6532.031959
815	6524.246013
816	6514.454712
817	6513.37533
818	6503.70601
819	6494.924097
820	6486.470719
821	6477.993896
822	6475.907186
823	6464.312506
824	6451.916906
825	6444.870748
826	6437.888498
827	6426.825615
828	6418.068943
829	6408.483783
830	6407.49713
831	6395.389243
832	6394.444665
833	6382.320669
834	6375.587752
835	6374.282844
836	6370.637225
837	6361.96673
838	6353.00087
839	6343.101615
840	6334.758357
841	6326.167842
842	6319.572551
843	6310.364781
844	6309.177042
845	6304.762269
846	6303.981624
847	6302.159494
848	6291.687606
849	6290.905185
850	6280.966204
851	6272.851474
852	6262.896553
853	6256.578542
854	6251.476458
855	6241.304799
856	6234.542858
857	6226.03337
858	6214.54825
859	6213.708581
860	6212.959887
861	6201.119236
862	6191.561251
863	6184.167952
864	6175.121659
865	6174.461755
866	6166.020015
867	6156.74623
868	6151.436329
869	6141.943895
870	6136.572174
871	6127.112218
872	6118.256031
873	6116.997992
874	6105.973154
875	6093.976393
876	6084.459518
877	6075.956148
878	6069.811293
879	6058.200683
880	6049.091086
881	6039.299622
882	6029.377429
883	6023.604571
884	6013.00386
885	6003.935503
886	5996.710832
887	5990.129009
888	5982.802102
889	5969.26288
890	5968.064451
891	5955.879013
892	5945.648317
893	5938.702066
894	5931.680565
895	5923.494594
896	5916.042405
897	5908.739082
898	5901.343716
899	5898.11347
900	5889.303871
901	5884.638232
902	5875.300187
903	5864.246374
904	5854.212491
905	5847.610347
906	5842.125442
907	5834.519132
908	5829.598321
909	5821.32771
910	5809.989943
911	5799.138415
912	5797.537671
913	5789.317328
914	5783.279422
915	5775.96462
916	5772.618065
917	5766.418093
918	5762.300106
919	5761.58136
920	5753.969754
921	5749.019873
922	5743.703214
923	5738.049491
924	5732.672125
925	5730.759431
926	5723.60241
927	5719.824771
928	5712.737691
929	5712.04583
930	5705.419411
931	5699.274095
932	5693.137306
933	5692.518511
934	5684.98735
935	5677.018516
936	5664.027186
937	5658.88518
938	5650.916614
939	5645.876656
940	5645.320174
941	5636.371346
942	5630.107496
943	5629.664814
944	5618.953487
945	5613.455381
946	5608.617676
947	5602.05552
948	5595.69528
949	5583.214275
950	5573.988451
951	5568.303928
952	5567.772044
953	5557.901422
954	5557.027739
955	5556.526791
956	5549.284124
957	5540.331461
958	5533.661456
959	5529.529732
960	5524.327173
961	5519.216301
962	5511.256134
963	5500.588424
964	5500.239429
965	5489.74071
966	5489.295373
967	5481.941475
968	5476.455477
969	5466.818296
970	5461.017114
971	5460.446207
972	5454.956651
973	5447.44744
974	5434.454862
975	5433.805099
976	5427.027058
977	5423.647664
978	5414.581493
979	5404.926315
980	5397.456698
981	5393.248988
982	5384.706702
983	5379.900137
984	5367.71489
985	5360.410165
986	5353.318774
987	5348.490341
988	5347.374819
989	5343.581887
990	5340.036935
991	5332.258721
992	5326.664011
993	5316.221216
994	5311.613979
995	5307.124655
996	5305.622497
997	5297.445407
998	5292.32179
999	5291.813835
1000	5283.823787
1001	5279.007981
1002	5271.956936
1003	5262.011529
1004	5256.350347
1005	5255.788745
1006	5247.172323
1007	5235.665583
1008	5227.075827
1009	5217.700251
1010	5212.11826
1011	5203.633347
1012	5197.020943
1013	5196.536386
1014	5187.730447
1015	5180.111235
1016	5171.968539
1017	5166.148435
1018	5165.639029
1019	5160.21004
1020	5152.353123
1021	5143.499789
1022	5138.83102
1023	5132.403283
1024	5125.658431
1025	5118.493949
1026	5108.38809
1027	5102.188198
1028	5095.880818
1029	5087.506875
1030	5086.999927
1031	5082.356703
1032	5081.50671
1033	5081.050431
1034	5070.350151
1035	5065.683132
1036	5060.728357
1037	5056.398458
1038	5055.549602
1039	5050.593294
1040	5046.981401
1041	5038.32046
1042	5031.445287
1043	5027.645322
1044	5021.791081
1045	5018.832759
1046	5010.49922
1047	5007.453321
1048	5006.875112
1049	4999.770694
1050	4999.417449
1051	4992.353655
1052	4985.842241
1053	4981.925412
1054	4976.784427
1055	4969.508392
1056	4963.437607
1057	4955.418549
1058	4948.887777
1059	4943.889677
1060	4943.477066
1061	4940.032412
1062	4932.543965
1063	4932.072859
1064	4931.582279
1065	4931.111524
1066	4927.098898
1067	4918.730997
1068	4910.133745
1069	4909.331473
1070	4908.958655
1071	4904.628416
1072	4897.897392
1073	4893.237465
1074	4889.050543
1075	4876.439334
1076	4866.456536
1077	4866.096739
1078	4861.833853
1079	4854.293448
1080	4852.015363
1081	4847.500682
1082	4837.109893
1083	4830.018754
1084	4829.572469
1085	4824.577921
1086	4820.030908
1087	4814.881995
1088	4806.836678
1089	4802.958364
1090	4798.460483
1091	4791.011697
1092	4782.901594
1093	4771.247178
1094	4770.233416
1095	4764.398508
1096	4764.035838
1097	4760.321815
1098	4759.892088
1099	4755.963549
1100	4749.999808
1101	4745.11389
1102	4738.799345
1103	4734.193915
1104	4733.71949
1105	4725.911504
1106	4719.227816
1107	4716.098703
1108	4710.035832
1109	4702.845785
1110	4693.564717
1111	4689.740003
1112	4684.655763
1113	4678.319438
1114	4674.063548
1115	4670.219003
1116	4663.228451
1117	4662.80755
1118	4657.871878
1119	4655.062469
1120	4650.375513
1121	4648.3423
1122	4642.309509
1123	4637.813278
1124	4632.565968
1125	4632.228507
1126	4627.268141
1127	4616.169632
1128	4615.031785
1129	4608.820258
1130	4608.375409
1131	4601.147119
1132	4600.679077
1133	4594.65735
1134	4590.479791
1135	4584.541016
1136	4583.343653
1137	4578.977205
1138	4570.556197
1139	4570.222207
1140	4564.387847
1141	4557.4464
1142	4557.058101
1143	4556.459163
1144	4552.741943
1145	4547.043081
1146	4533.489579
1147	4532.916106
1148	4525.55751
1149	4519.704224
1150	4514.081988
1151	4508.113662
1152	4505.481636
1153	4499.244113
1154	4496.777662
1155	4495.880083
1156	4484.037003
1157	4477.569193
1158	4477.240345
1159	4470.595132
1160	4459.692188
1161	4450.061281
1162	4444.481833
1163	4440.960988
1164	4440.629173
1165	4440.28388
1166	4437.947132
1167	4434.602324
1168	4434.221541
1169	4424.835021
1170	4417.090503
1171	4416.207753
1172	4415.933326
1173	4415.470399
1174	4408.934259
1175	4408.579882
1176	4408.272026
1177	4404.156807
1178	4403.910404
1179	4398.927035
1180	4392.906892
1181	4386.830385
1182	4386.513506
1183	4385.317156
1184	4384.985849
1185	4380.31461
1186	4373.174794
1187	4369.682521
1188	4365.025736
1189	4364.636761
1190	4360.220528
1191	4354.786375
1192	4347.36708
1193	4346.929952
1194	4339.820293
1195	4332.625928
1196	4327.836163
1197	4325.4548
1198	4322.687347
1199	4322.27515
1200	4322.01363
1201	4316.152436
1202	4311.144577
1203	4304.59545
1204	4304.361599
1205	4304.108858
1206	4303.53706
1207	4296.911712
1208	4296.475897
1209	4290.203036
1210	4287.370862
1211	4280.74284
1212	4274.768818
1213	4274.226408
1214	4273.953446
1215	4268.170998
1216	4267.89474
1217	4263.363539
1218	4257.855623
1219	4254.523674
1220	4254.227776
1221	4247.55674
1222	4244.464103
1223	4240.685466
1224	4237.686637
1225	4230.486155
1226	4224.925769
1227	4221.906389
1228	4219.861878
1229	4216.196711
1230	4215.625775
1231	4209.010192
1232	4206.689319
1233	4202.088399
1234	4200.834215
1235	4197.902104
1236	4190.174069
1237	4184.801236
1238	4179.364016
1239	4178.531312
1240	4178.315655
1241	4176.252425
1242	4168.449562
1243	4163.747285
1244	4163.505518
1245	4156.4371
1246	4156.247758
1247	4154.445645
1248	4148.763307
1249	4141.567393
1250	4134.632434
1251	4129.324869
1252	4120.561796
1253	4117.002
1254	4111.373883
1255	4111.145143
1256	4106.10969
1257	4098.2693
1258	4090.633085
1259	4085.914756
1260	4085.704955
1261	4078.274773
1262	4077.886329
1263	4070.992048
1264	4067.399784
1265	4067.209368
1266	4063.775809
1267	4061.469393
1268	4057.529803
1269	4057.304225
1270	4057.085463
1271	4051.527791
1272	4048.689641
1273	4041.020239
1274	4040.786737
1275	4039.005753
1276	4036.492722
1277	4032.310934
1278	4029.470051
1279	4024.459715
1280	4024.075361
1281	4023.576884
1282	4019.075931
1283	4018.821998
1284	4014.415519
1285	4013.152921
1286	4008.656662
1287	4002.168566
1288	3997.345424
1289	3997.013649
1290	3991.514365
1291	3991.367219
1292	3984.461438
1293	3981.572917
1294	3977.934893
1295	3976.090682
1296	3968.592847
1297	3962.698798
1298	3962.373424
1299	3957.716682
1300	3953.618807
1301	3944.501108
1302	3938.828309
1303	3932.613883
1304	3931.268138
1305	3925.579798
1306	3922.533803
1307	3922.292833
1308	3917.425643
1309	3913.749632
1310	3909.465705
1311	3904.789535
1312	3899.409985
1313	3895.617402
1314	3888.409576
1315	3885.186913
1316	3880.389851
1317	3877.208793
1318	3873.858411
1319	3870.241856
1320	3864.636653
1321	3864.443702
1322	3864.281142
1323	3860.612521
1324	3856.965663
1325	3856.761142
1326	3852.722178
1327	3852.199963
1328	3847.378952
1329	3847.122058
1330	3839.080712
1331	3834.140856
1332	3828.672226
1333	3824.772938
1334	3821.720514
1335	3818.216464
1336	3817.91633
1337	3811.646726
1338	3807.340952
1339	3802.548384
1340	3802.385298
1341	3802.201948
1342	3797.95911
1343	3792.017888
1344	3789.913815
1345	3785.381603
1346	3780.614699
1347	3775.464467
1348	3770.505643
1349	3769.983934
1350	3769.754492
1351	3767.567191
1352	3767.400332
1353	3760.933958
1354	3757.075342
1355	3749.721929
1356	3744.435188
1357	3740.49417
1358	3736.70941
1359	3732.486168
1360	3726.22428
1361	3721.555133
1362	3720.024821
1363	3714.868142
1364	3714.689573
1365	3714.497152
1366	3709.234944
1367	3707.29553
1368	3707.124152
1369	3706.781946
1370	3700.251778
1371	3692.423269
1372	3686.811749
1373	3683.89982
1374	3680.02463
1375	3673.526409
1376	3671.776808
1377	3668.892638
1378	3661.427491
1379	3658.321217
1380	3653.301015
1381	3650.785278
1382	3646.904184
1383	3642.198745
1384	3636.94277
1385	3632.559554
1386	3630.598203
1387	3629.767253
1388	3625.330713
1389	3621.955619
1390	3617.773837
1391	3610.453758
1392	3606.347048
1393	3606.172455
1394	3600.57741
1395	3600.386356
1396	3596.800499
1397	3593.240374
1398	3589.186963
1399	3585.881304
1400	3581.41188
1401	3576.63175
1402	3572.369042
1403	3566.740317
1404	3560.6536
1405	3556.773437
1406	3551.40504
1407	3546.92383
1408	3542.033262
1409	3536.579115
1410	3531.652976
1411	3531.450735
1412	3526.797475
1413	3522.913321
1414	3518.888409
1415	3515.012849
1416	3514.879999
1417	3510.146262
1418	3505.665587
1419	3500.453273
1420	3496.594784
1421	3494.941218
1422	3491.201811
1423	3484.514093
1424	3478.431873
1425	3476.494826
1426	3471.719216
1427	3467.120581
1428	3462.784934
1429	3462.57596
1430	3461.101823
1431	3455.732195
1432	3453.967106
1433	3450.991783
1434	3447.027702
1435	3443.642517
1436	3438.841242
1437	3438.670399
1438	3434.968575
1439	3430.570672
1440	3427.88934
1441	3427.710444
1442	3427.072623
1443	3426.881647
1444	3425.051509
1445	3424.895719
1446	3422.47053
1447	3418.759735
1448	3414.442607
1449	3410.394317
1450	3404.520515
1451	3403.031731
1452	3400.661921
1453	3396.757459
1454	3392.574974
1455	3388.776785
1456	3387.40631
1457	3386.05681
1458	3380.757849
1459	3379.960668
1460	3377.092824
1461	3373.231839
1462	3373.084445
1463	3369.129438
1464	3365.104303
1465	3360.25354
1466	3354.837633
1467	3349.660075
1468	3341.552896
1469	3340.977054
1470	3337.262806
1471	3331.694917
1472	3331.548862
1473	3329.63267
1474	3325.836113
1475	3324.35581
1476	3322.879483
1477	3322.709966
1478	3321.582783
1479	3317.746202
1480	3317.570078
1481	3314.017395
1482	3312.20513
1483	3309.620026
1484	3304.594467
1485	3304.421541
1486	3301.849807
1487	3301.704689
1488	3301.559976
1489	3301.415576
1490	3297.271635
1491	3293.220736
1492	3289.225007
1493	3289.053957
1494	3284.015042
1495	3282.496654
1496	3282.339852
1497	3277.548868
1498	3277.395538
1499	3273.831509
